id,team,team_name,position,now_cost,bonus_scaled,expected_goal_involvements_scaled,fixture_score,form_scaled,ict_index_scaled,individual_captain_ceiling,minutes_security,minutes_security_scaled,next_fixture_score,points_per_game_scaled,team_attack_score,team_defence_score,xgi_per_90_scaled,snapshot_gameweek,snapshot_saved_utc
76,3,Bournemouth,midfielder,50,0,0,0.6153846153846154,0.15789473684210525,0.018633540372670804,0.10215575169808579,0.1111111111111111,0.1111111111111111,0.5,0.15789473684210525,0,0,0,2,2026-08-28T20:09:31.803525+00:00
79,3,Bournemouth,forward,60,0,0.125,0.6153846153846154,0.3157894736842105,0.20496894409937885,0.2686338922837779,0.5481481481481482,0.5481481481481482,0.5,0.3157894736842105,0,0,0.12502362502362505,2,2026-08-28T20:09:31.803525+00:00
81,3,Bournemouth,forward,60,0,0,0.6153846153846154,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
566,3,Bournemouth,defender,50,0,0,0.6153846153846154,0.21052631578947367,0.19875776397515527,0.17952489920453307,0.6666666666666666,0.6666666666666666,0.5,0.21052631578947367,0,0,0,2,2026-08-28T20:09:31.803525+00:00
573,3,Bournemouth,defender,45,0,0,0.6153846153846154,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
608,3,Bournemouth,forward,50,0,0.05952381,0.6153846153846154,0.15789473684210525,0.13043478260869565,0.18676244934826175,0.1111111111111111,0.1111111111111111,0.5,0.15789473684210525,0,0,0.29370629370629375,2,2026-08-28T20:09:31.803525+00:00
615,3,Bournemouth,goalkeeper,45,0,0,0.6153846153846154,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
82,4,Brentford,goalkeeper,50,0,0.005952381,0.846153846,0.47368421052631576,0.19254658385093165,0.3380222942579922,0.6666666666666666,0.6666666666666666,0.5,0.47368421052631576,0,0,0.004895105,2,2026-08-28T20:09:31.803525+00:00
83,4,Brentford,goalkeeper,45,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
84,4,Brentford,defender,55,0,0.2261904761904762,0.846153846,0.42105263157894735,0.3105590062111801,0.36352430940531627,0.6666666666666666,0.6666666666666666,0.5,0.42105263157894735,0,0,0.18601398601398605,2,2026-08-28T20:09:31.803525+00:00
86,4,Brentford,midfielder,55,0.6666666666666666,0.5297619047619048,0.846153846,0.631578947,0.5093167701863354,0.5721284626891034,0.6666666666666666,0.6666666666666666,0.5,0.631578947,0,0,0.43566433566433577,2,2026-08-28T20:09:31.803525+00:00
87,4,Brentford,defender,45,0,0.077380952,0.846153846,0.5263157894736842,0.3478260869565217,0.3998145066222869,0.6666666666666666,0.6666666666666666,0.5,0.5263157894736842,0,0,0.063636364,2,2026-08-28T20:09:31.803525+00:00
88,4,Brentford,defender,46,0.3333333333333333,0.2976190476190476,0.846153846,0.7894736842105263,0.5031055900621118,0.6251991207368782,0.5555555555555556,0.5555555555555556,0.5,0.7894736842105263,0,0,0.29370629370629375,2,2026-08-28T20:09:31.803525+00:00
89,4,Brentford,defender,45,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
90,4,Brentford,defender,45,0,0,0.846153846,0.15789473684210525,0,0.099922027,0.1037037037037037,0.1037037037037037,0.5,0.15789473684210525,0,0,0,2,2026-08-28T20:09:31.803525+00:00
92,4,Brentford,defender,45,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
93,4,Brentford,defender,45,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
94,4,Brentford,midfielder,60,0,0.3154761904761905,0.846153846,0.2631578947368421,0.5279503105590062,0.3088832410914791,0.6666666666666666,0.6666666666666666,0.5,0.2631578947368421,0,0,0.2594405594405595,2,2026-08-28T20:09:31.803525+00:00
95,4,Brentford,midfielder,65,0,0.2023809523809524,0.846153846,0.2631578947368421,0.2919254658385093,0.26827044370002556,0.4888888888888889,0.4888888888888889,0.5,0.2631578947368421,0,0,0.22695486331849973,2,2026-08-28T20:09:31.803525+00:00
96,4,Brentford,midfielder,55,0,0.06547619,0.846153846,0.15789473684210525,0.21118012422360247,0.20757850125127014,0.1037037037037037,0.1037037037037037,0.5,0.15789473684210525,0,0,0.3461538461538462,2,2026-08-28T20:09:31.803525+00:00
97,4,Brentford,midfielder,55,0,0.25,0.846153846,0.42105263157894735,0.44720496894409933,0.3918855221934065,0.4888888888888889,0.4888888888888889,0.5,0.42105263157894735,0,0,0.28035600762873486,2,2026-08-28T20:09:31.803525+00:00
98,4,Brentford,midfielder,50,0,0.33333333333333337,0.846153846,0.5789473684210527,0.7204968944099378,0.5212829123584273,0.6666666666666666,0.6666666666666666,0.5,0.5789473684210527,0,0,0.2741258741258742,2,2026-08-28T20:09:31.803525+00:00
100,4,Brentford,midfielder,50,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
102,4,Brentford,midfielder,50,0,0.023809524,0.846153846,0.15789473684210525,0.037267081,0.12613682698350892,0.17037037037037037,0.17037037037037037,0.5,0.15789473684210525,0,0,0.076619033,2,2026-08-28T20:09:31.803525+00:00
103,4,Brentford,midfielder,50,0,0,0.846153846,0.10526315789473684,0,0.063157895,0,0,0.5,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
105,4,Brentford,midfielder,60,0,0.2261904761904762,0.846153846,0.15789473684210525,0.2919254658385093,0.3144181109169668,0.17037037037037037,0.17037037037037037,0.5,0.15789473684210525,0,0,0.7278808148373366,2,2026-08-28T20:09:31.803525+00:00
